2026-09-08 22:10:41 [7974907] 13201kb (99.2%) ████████████████████
2026-09-08 22:33:35 [a55f795] 13202kb (99.2%) ████████████████████
2026-09-08 23:00:49 [3c52181] 13192kb (99.1%) ████████████████████
2026-09-08 23:13:15 [a980f72] 13095kb (98.4%) ████████████████████
2026-09-08 23:26:20 [9ad622c] 13086kb (98.3%) ████████████████████
2026-09-08 23:36:27 [eb07c13] 13077kb (98.2%) ████████████████████
2026-09-08 23:58:08 [1cc545a] 13077kb (98.2%) ████████████████████
2026-09-08 00:06:59 [1cc545a] 13053kb (98.1%) ████████████████████
2026-09-09 08:26:07 [cefa638] 13063kb (98.1%) ████████████████████
2026-09-09 08:32:36 [af0cde7] 13024kb (97.8%) ████████████████████
2026-09-09 09:10:21 [dbbf5b4] 13024kb (97.8%) ████████████████████
2026-09-09 09:10:58 [dbbf5b4] 13014kb (97.8%) ████████████████████
2026-09-09 09:13:30 [86ce657] 13002kb (97.7%) ████████████████████
2026-09-09 09:15:38 [86ce657] 13009kb (97.7%) ████████████████████
2026-09-09 09:22:19 [86ce657] 13013kb (97.8%) ████████████████████
2026-09-09 09:23:05 [86ce657] 12979kb (97.5%) ███████████████████
2026-09-09 09:53:18 [86e7474] 12978kb (97.5%) ███████████████████
2026-09-09 09:54:43 [86e7474] 12978kb (97.5%) ███████████████████
2026-09-09 09:55:50 [86e7474] 13000kb (97.7%) ████████████████████
2026-09-09 09:56:32 [86e7474] 12979kb (97.5%) ███████████████████
2026-09-09 10:12:55 [86e7474] 12983kb (97.5%) ████████████████████
2026-09-09 10:13:52 [86e7474] 12953kb (97.3%) ███████████████████
2026-09-09 10:16:00 [86e7474] 12953kb (97.3%) ███████████████████
2026-09-09 10:17:04 [86e7474] 12966kb (97.4%) ███████████████████
2026-09-09 10:17:27 [86e7474] 12953kb (97.3%) ███████████████████
2026-09-09 10:20:53 [86e7474] 12979kb (97.5%) ███████████████████
2026-09-09 10:22:22 [fe3046d] 12965kb (97.4%) ███████████████████
2026-09-09 10:25:42 [fe3046d] 12992kb (97.6%) ████████████████████
2026-09-09 10:26:18 [fe3046d] 12965kb (97.4%) ███████████████████
2026-09-09 10:42:45 [8676f8c] 12990kb (97.6%) ████████████████████
2026-09-09 10:43:12 [8676f8c] 12965kb (97.4%) ███████████████████
2026-09-09 10:45:02 [8676f8c] 12959kb (97.3%) ███████████████████
2026-09-09 13:33:09 [d6f4ac4] 12946kb (97.3%) ███████████████████
2026-09-09 15:52:38 [21a7176] 12946kb (97.3%) ███████████████████
